score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 1,stealthy,structural,5,0.006740930490195751,173
Score 1,stealthy,structural,6,0.15298543870449066,173
Score 1,stealthy,structural,7,0.023029223084449768,173
Score 1,stealthy,structural,8,0.002910501789301634,173
Score 1,stealthy,structural,9,0.06631292402744293,173
Score 1,stealthy,structural,10,0.10090501606464386,173
Score 1,stealthy,structural,11,0.01081320084631443,173
Score 1,stealthy,structural,12,0.05376748368144035,173
Score 1,stealthy,structural,13,0.002913555596023798,173
Score 1,stealthy,structural,14,0.007225628010928631,173
Score 1,stealthy,structural,15,0.0007736535626463592,173
Score 1,stealthy,structural,16,0.00177029671613127,173
Score 1,stealthy,structural,17,0.0014093731297180057,173
Score 1,stealthy,structural,18,0.00015839998377487063,173
Score 1,stealthy,structural,19,0.0005179762956686318,173
Score 1,stealthy,structural,20,0.0022364386823028326,173
Score 1,stealthy,structural,21,0.0002191681560361758,173
Score 1,stealthy,structural,22,0.0012685428373515606,173
Score 1,stealthy,structural,23,0.011593949981033802,173
Score 1,stealthy,structural,24,0.0037374459207057953,173
Score 1,stealthy,structural,25,0.01521681621670723,173
Score 1,stealthy,structural,26,0.00028422698960639536,173
Score 1,stealthy,structural,27,0.0013920930214226246,173
Score 1,stealthy,structural,28,0.00019323089509271085,173
Score 1,stealthy,structural,29,0.00535119604319334,173
Score 1,stealthy,structural,30,0.0002563289017416537,173
Score 1,stealthy,structural,31,0.0006742562400177121,173
Score 1,stealthy,structural,32,0.00042010386823676527,173
Score 1,stealthy,structural,33,0.00048417472862638533,173
Score 1,stealthy,structural,34,0.0015101658646017313,173
Score 1,stealthy,structural,35,0.0001578849769430235,173
Score 1,stealthy,structural,36,0.00035914473119191825,173
Score 1,stealthy,structural,37,0.0031758504919707775,173
Score 1,stealthy,structural,38,0.0028723692521452904,173
Score 1,stealthy,structural,39,0.0003834271046798676,173
Score 1,stealthy,structural,40,0.00041319537558592856,173
Score 1,stealthy,structural,41,0.0005528175970539451,173
Score 1,stealthy,structural,42,0.00025125022511929274,173
Score 1,stealthy,structural,43,0.0005188484792597592,173
Score 1,stealthy,structural,44,7.073523011058569e-05,173
