score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,205,205,0.751219512195122,0.24878048780487805,1.0
Score 1,structural,10,2,205,205,0.7073170731707317,0.29268292682926833,1.0
Score 1,structural,10,3,205,205,0.7317073170731707,0.2682926829268293,1.0
Score 1,structural,10,5,205,205,0.7317073170731707,0.2682926829268293,1.0
Score 1,structural,10,10,205,205,0.01951219512195122,0.9804878048780488,1.0
Score 1,structural,10,15,205,205,0.00975609756097561,0.9902439024390244,1.0
Score 1,structural,10,20,205,205,0.00975609756097561,0.9902439024390244,1.0
Score 1,structural,10,30,205,205,0.0,1.0,1.0
Score 1,structural,10,40,205,205,0.0,1.0,1.0
Score 1,structural,10,50,205,205,0.0,1.0,1.0
Score 1,structural,10,57,205,205,0.0,1.0,1.0
Score 1,noisy,10,1,205,86,0.36046511627906974,0.6395348837209303,0.4195121951219512
Score 1,noisy,10,2,205,86,0.29069767441860467,0.7093023255813953,0.4195121951219512
Score 1,noisy,10,3,205,86,0.3023255813953488,0.6976744186046512,0.4195121951219512
Score 1,noisy,10,5,205,86,0.2441860465116279,0.7558139534883721,0.4195121951219512
Score 1,noisy,10,10,205,86,0.19767441860465115,0.8023255813953488,0.4195121951219512
Score 1,noisy,10,15,205,86,0.23255813953488372,0.7674418604651163,0.4195121951219512
Score 1,noisy,10,20,205,86,0.23255813953488372,0.7674418604651163,0.4195121951219512
Score 1,noisy,10,30,205,86,0.19767441860465115,0.8023255813953488,0.4195121951219512
Score 1,noisy,10,40,205,86,0.16279069767441862,0.8372093023255813,0.4195121951219512
Score 1,noisy,10,50,205,86,0.09302325581395349,0.9069767441860466,0.4195121951219512
Score 1,noisy,10,57,205,86,0.0,1.0,0.4195121951219512
Score 1,structural,20,1,411,411,0.51338199513382,0.48661800486618,1.0
Score 1,structural,20,2,411,411,0.5304136253041363,0.46958637469586373,1.0
Score 1,structural,20,3,411,411,0.5644768856447688,0.43552311435523117,1.0
Score 1,structural,20,5,411,411,0.5863746958637469,0.4136253041362531,1.0
Score 1,structural,20,10,411,411,0.0705596107055961,0.9294403892944039,1.0
Score 1,structural,20,15,411,411,0.038929440389294405,0.9610705596107056,1.0
Score 1,structural,20,20,411,411,0.0364963503649635,0.9635036496350365,1.0
Score 1,structural,20,30,411,411,0.004866180048661801,0.9951338199513382,1.0
Score 1,structural,20,40,411,411,0.0,1.0,1.0
Score 1,structural,20,50,411,411,0.0,1.0,1.0
Score 1,structural,20,57,411,411,0.0,1.0,1.0
Score 1,noisy,20,1,411,173,0.36416184971098264,0.6358381502890174,0.4209245742092457
Score 1,noisy,20,2,411,173,0.3352601156069364,0.6647398843930636,0.4209245742092457
Score 1,noisy,20,3,411,173,0.3699421965317919,0.630057803468208,0.4209245742092457
Score 1,noisy,20,5,411,173,0.3583815028901734,0.6416184971098267,0.4209245742092457
