score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,205,205,0.47317073170731705,0.526829268292683,1.0
Score 1,structural,10,2,205,205,0.004878048780487805,0.9951219512195122,1.0
Score 1,structural,10,3,205,205,0.0,1.0,1.0
Score 1,structural,10,5,205,205,0.0,1.0,1.0
Score 1,structural,10,10,205,205,0.0,1.0,1.0
Score 1,structural,10,15,205,205,0.0,1.0,1.0
Score 1,structural,10,20,205,205,0.0,1.0,1.0
Score 1,structural,10,30,205,205,0.0,1.0,1.0
Score 1,structural,10,40,205,205,0.0,1.0,1.0
Score 1,structural,10,50,205,205,0.0,1.0,1.0
Score 1,structural,10,57,205,205,0.0,1.0,1.0
Score 1,noisy,10,1,205,150,0.24666666666666667,0.7533333333333333,0.7317073170731707
Score 1,noisy,10,2,205,150,0.12666666666666668,0.8733333333333333,0.7317073170731707
Score 1,noisy,10,3,205,150,0.12666666666666668,0.8733333333333333,0.7317073170731707
Score 1,noisy,10,5,205,150,0.26666666666666666,0.7333333333333334,0.7317073170731707
Score 1,noisy,10,10,205,150,0.26666666666666666,0.7333333333333334,0.7317073170731707
Score 1,noisy,10,15,205,150,0.26666666666666666,0.7333333333333334,0.7317073170731707
Score 1,noisy,10,20,205,150,0.2733333333333333,0.7266666666666667,0.7317073170731707
Score 1,noisy,10,30,205,150,0.3333333333333333,0.6666666666666667,0.7317073170731707
Score 1,noisy,10,40,205,150,0.09333333333333334,0.9066666666666666,0.7317073170731707
Score 1,noisy,10,50,205,150,0.07333333333333333,0.9266666666666666,0.7317073170731707
Score 1,noisy,10,57,205,150,0.0,1.0,0.7317073170731707
Score 1,structural,20,1,411,411,0.25547445255474455,0.7445255474452555,1.0
Score 1,structural,20,2,411,411,0.051094890510948905,0.948905109489051,1.0
Score 1,structural,20,3,411,411,0.0535279805352798,0.9464720194647201,1.0
Score 1,structural,20,5,411,411,0.0364963503649635,0.9635036496350365,1.0
Score 1,structural,20,10,411,411,0.0,1.0,1.0
Score 1,structural,20,15,411,411,0.0,1.0,1.0
Score 1,structural,20,20,411,411,0.0,1.0,1.0
Score 1,structural,20,30,411,411,0.0,1.0,1.0
Score 1,structural,20,40,411,411,0.0,1.0,1.0
Score 1,structural,20,50,411,411,0.0,1.0,1.0
Score 1,structural,20,57,411,411,0.0,1.0,1.0
Score 1,noisy,20,1,411,344,0.36046511627906974,0.6395348837209303,0.8369829683698297
Score 1,noisy,20,2,411,344,0.3081395348837209,0.6918604651162791,0.8369829683698297
Score 1,noisy,20,3,411,344,0.29651162790697677,0.7034883720930232,0.8369829683698297
Score 1,noisy,20,5,411,344,0.375,0.625,0.8369829683698297
Score 1,noisy,20,10,411,344,0.3633720930232558,0.6366279069767442,0.8369829683698297
Score 1,noisy,20,15,411,344,0.37209302325581395,0.627906976744186,0.8369829683698297
Score 1,noisy,20,20,411,344,0.37209302325581395,0.627906976744186,0.8369829683698297
Score 1,noisy,20,30,411,344,0.34011627906976744,0.6598837209302326,0.8369829683698297
Score 1,noisy,20,40,411,344,0.06976744186046512,0.9302325581395349,0.8369829683698297
Score 1,noisy,20,50,411,344,0.046511627906976744,0.9534883720930233,0.8369829683698297
Score 1,noisy,20,57,411,344,0.0,1.0,0.8369829683698297
Score 1,structural,30,1,617,617,0.23014586709886548,0.7698541329011346,1.0
Score 1,structural,30,2,617,617,0.055105348460291734,0.9448946515397083,1.0
Score 1,structural,30,3,617,617,0.059967585089141004,0.940032414910859,1.0
Score 1,structural,30,5,617,617,0.03403565640194489,0.9659643435980552,1.0
