Attack metrics report
Dataset: taiwan_bankruptcy
Attack: deepfool
alpha=0.001, maxiters=500

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2959/2998
ASR (among correct): 0.9870

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.14937

Changed samples among successful attacks: 2959/2959
Max |delta| among successful attacks: 0.147533

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.00833154 median=0.00714608 min=5.37198e-05 max=0.0341335
  RMSE : mean=0.0123395 median=0.0105611 min=7.90695e-05 max=0.0484759
  L1   : mean=0.783165 median=0.671731 min=0.00504966 max=3.20855
  L2   : mean=0.119636 median=0.102393 min=0.000766607 max=0.469991
  Linf : mean=0.0449226 median=0.0384068 min=0.000280768 max=0.14937

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.327226 mean|diff|=0.000985295 max|diff|=0.00999635
  RMSE : orig_mean=0.450105 adv_mean=0.449502 mean|diff|=0.000603589 max|diff|=0.00595042
  L1   : orig_mean=30.6666 adv_mean=30.7592 mean|diff|=0.0926177 max|diff|=0.939657
  L2   : orig_mean=4.36393 adv_mean=4.35808 mean|diff|=0.00585201 max|diff|=0.0576916
  Linf : orig_mean=0.999071 adv_mean=0.99982 mean|diff|=0.000966164 max|diff|=0.0303482

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.325868 adv_mean=0.326829 mean|diff|=0.000961609 max|diff|=0.00999635
  RMSE : orig_mean=0.44968 adv_mean=0.44912 mean|diff|=0.00056042 max|diff|=0.00328708
  L1   : orig_mean=30.6316 adv_mean=30.722 mean|diff|=0.0903912 max|diff|=0.939657
  L2   : orig_mean=4.35981 adv_mean=4.35438 mean|diff|=0.00543348 max|diff|=0.0318694
  Linf : orig_mean=0.999066 adv_mean=0.999828 mean|diff|=0.000961433 max|diff|=0.0178899

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
73,1,1,0.00699815,0.0103738,0.657826,0.100578,0.0372771
74,1,1,0.0102112,0.0150835,0.959856,0.14624,0.0549808
75,1,1,0.00800129,0.0112824,0.752122,0.109387,0.0336775
76,1,1,0.00197813,0.00287965,0.185945,0.0279192,0.0105591
77,1,1,0.00329124,0.00490019,0.309376,0.0475091,0.017839
78,1,1,0.00252355,0.00365485,0.237214,0.035435,0.013528
79,1,1,0.00260544,0.00380289,0.244912,0.0368704,0.013947
80,1,1,0.0190568,0.0281198,1.79134,0.272631,0.105153
81,1,1,0.00285927,0.00424033,0.268771,0.0411116,0.0151638
82,1,1,0.0053197,0.00799899,0.500052,0.077553,0.0287786
83,1,1,0.00800224,0.0118264,0.752211,0.114661,0.0431595
84,1,1,0.00805211,0.0119051,0.756898,0.115424,0.0434551
85,1,1,0.00801691,0.0117085,0.753589,0.113518,0.0432195
86,1,1,0.00437324,0.00652711,0.411084,0.0632827,0.0241888
87,1,1,0.0159467,0.0240188,1.49899,0.232871,0.0885825
88,1,1,0.00217168,0.00316821,0.204138,0.0307169,0.0116024
89,1,1,0.00767597,0.0112481,0.721541,0.109054,0.0412341
90,1,1,0.0057604,0.00849135,0.541478,0.0823267,0.0312116
91,1,1,0.00649361,0.00966603,0.610399,0.0937156,0.034758
92,1,1,0.00725193,0.0107151,0.681681,0.103886,0.0390891
94,1,1,0.0154896,0.0228415,1.45602,0.221456,0.085302
95,1,1,0.003304,0.00475996,0.310576,0.0461495,0.0175214
96,1,1,0.0143005,0.0212526,1.34425,0.206052,0.0778595
97,1,1,0.0161448,0.02414,1.51761,0.234046,0.0889312
98,1,1,0.00215985,0.00309996,0.203026,0.0300552,0.0114079
99,1,1,0.0145761,0.0215661,1.37015,0.209091,0.0743926
100,1,1,0.00771032,0.0114925,0.72477,0.111424,0.0419846
102,1,1,0.00270614,0.00397895,0.254377,0.0385774,0.0145817
103,1,1,0.00741072,0.0109528,0.696608,0.106191,0.0399455
104,1,1,0.00548454,0.00816497,0.515547,0.0791623,0.0298235
105,1,1,0.0125191,0.0185381,1.17679,0.179734,0.0676556
106,1,1,0.00986294,0.0146636,0.927116,0.142169,0.0535393
107,1,1,0.00671042,0.00986659,0.630779,0.0956601,0.0361423
108,0,1,0.0257079,0.0389264,2.41655,0.377405,0.143678
109,1,1,0.00137065,0.00206994,0.128841,0.0200688,0.00707713
110,1,1,0.00774374,0.0114437,0.727911,0.11095,0.0416454
111,1,1,0.00418569,0.00612269,0.393455,0.0593616,0.0224118
112,1,1,0.0171044,0.025321,1.60781,0.245496,0.0938477
113,1,1,0.000980921,0.0014388,0.0922066,0.0139497,0.00521188
114,1,1,0.00572206,0.00861676,0.537873,0.0835426,0.0309933
115,1,1,0.00417053,0.00602132,0.392029,0.0583788,0.0221938
116,1,1,0.00142207,0.00207772,0.133674,0.0201442,0.00753433
117,0,1,0.0256399,0.0387822,2.41015,0.376007,0.143707
119,1,1,0.00306878,0.00458412,0.288465,0.0444447,0.0162534
120,1,1,0.00297548,0.00440698,0.279695,0.0427273,0.0158248
121,1,1,0.00523803,0.00771093,0.492375,0.0747603,0.0282886
122,1,1,0.00439976,0.00645509,0.413577,0.0625844,0.0237636
123,1,1,0.0041043,0.00603704,0.385804,0.0585312,0.0221203
124,1,1,0.00655834,0.00973945,0.616484,0.0944274,0.0352236
125,1,1,0.00458357,0.00679585,0.430856,0.0658882,0.0247032
126,1,1,0.00820757,0.0123052,0.771512,0.119304,0.0450542
127,1,1,0.00796012,0.0120447,0.748251,0.116777,0.043816
128,1,1,0.0207483,0.0308169,1.95034,0.298781,0.114317
129,1,1,0.0109079,0.0161848,1.02534,0.156917,0.059032
130,1,1,0.000498748,0.000718255,0.0468823,0.00696374,0.00262821
131,1,1,0.00717077,0.0105859,0.674052,0.102634,0.038518
132,1,1,0.00467094,0.00693425,0.439069,0.06723,0.0248259
133,1,1,0.000141331,0.000197524,0.0132851,0.00191507,0.000595821
134,1,1,0.0105007,0.0155669,0.987063,0.150927,0.0571256
135,1,1,0.0117992,0.0172227,1.10912,0.16698,0.0634451
136,1,1,0.00961196,0.0136442,0.903524,0.132285,0.0407858
137,1,1,0.00694135,0.0103199,0.652487,0.100055,0.0369568
139,1,1,0.0078526,0.0113937,0.738144,0.110466,0.0422568
140,1,1,0.00235879,0.00341102,0.221726,0.0330711,0.012557
141,1,1,0.0201887,0.0300219,1.89774,0.291073,0.112361
142,1,1,0.00355771,0.0052883,0.334424,0.051272,0.0193365
143,1,1,0.00855173,0.0125675,0.803862,0.121846,0.0463611
144,1,1,0.00027267,0.000399526,0.025631,0.00387354,0.00146885
145,1,1,0.00757846,0.0111569,0.712375,0.10817,0.0408943
146,1,1,0.00824669,0.0120226,0.775189,0.116564,0.0444863
147,1,1,0.00916105,0.0136334,0.861138,0.132181,0.0498075
148,1,1,0.0138452,0.0206323,1.30145,0.200038,0.0758374
149,1,1,0.000811042,0.00118936,0.076238,0.0115313,0.00426246
150,1,1,0.00747738,0.0112073,0.702873,0.108659,0.0407622
151,1,1,0.0121321,0.0179951,1.14042,0.174469,0.0656419
152,1,1,0.00318574,0.00472606,0.299459,0.0458209,0.0171019
154,1,1,0.00254718,0.0037384,0.239435,0.0362452,0.0136088
155,1,1,0.00461728,0.00679523,0.434024,0.0658822,0.0249884
156,1,1,0.00958807,0.0139294,0.901279,0.135051,0.0513944
157,1,1,0.00409275,0.00601766,0.384719,0.0583434,0.0219828
158,1,1,0.00423705,0.00643112,0.398282,0.062352,0.0234137
159,1,1,0.0111741,0.0164964,1.05036,0.159938,0.0606672
160,1,1,0.0218188,0.0324684,2.05097,0.314792,0.121681
161,1,1,0.00961584,0.0143412,0.903889,0.139043,0.0516078
162,1,1,0.0111061,0.016348,1.04397,0.158499,0.0606021
163,1,1,0.017428,0.0258452,1.63824,0.250579,0.0961169
164,1,1,0.00732133,0.0108617,0.688205,0.105308,0.0396682
165,1,1,0.000419527,0.000593507,0.0394356,0.00575427,0.0017319
166,1,1,0.000657293,0.000960252,0.0617855,0.00930998,0.00347459
167,1,1,0.00506445,0.0074984,0.476058,0.0726997,0.027265
168,1,1,0.0215503,0.0324668,2.02573,0.314777,0.115937
169,1,1,0.00451831,0.00661586,0.424721,0.0641431,0.0241592
170,1,1,0.0137204,0.0205422,1.28971,0.199164,0.0754333
171,1,1,0.0101775,0.0151251,0.956689,0.146644,0.0528441
172,1,1,0.0056742,0.00818566,0.533374,0.0793629,0.0303631
173,1,1,0.0115186,0.0170092,1.08275,0.16491,0.0627552
174,1,1,0.00101718,0.00152145,0.0956147,0.014751,0.00522617
175,1,1,0.0244337,0.0360422,2.29677,0.349442,0.130066
176,1,1,0.0124441,0.0183087,1.16974,0.17751,0.0676269
178,1,1,0.00675669,0.00986693,0.635129,0.0956634,0.0358841
179,1,1,0.00730257,0.0109201,0.686442,0.105874,0.0396908
181,1,1,0.00690001,0.0102423,0.648601,0.0993031,0.0373516
183,1,1,0.00358908,0.00530992,0.337373,0.0514816,0.0191868
