Attack metrics report
Dataset: spambase
Attack: deepfool
alpha=0.001, maxiters=500

Correctly-classified originals: 2058/2301
Successfully attacked (among correct): 2041/2058
ASR (among correct): 0.9917

Changed samples among correct (any feature changed): 2058/2058
Max |delta| among correct: 0.099411

Changed samples among successful attacks: 2041/2041
Max |delta| among successful attacks: 0.089481

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.00988095 median=0.00776963 min=6.22247e-05 max=0.0469053
  RMSE : mean=0.013246 median=0.0105419 min=9.50558e-05 max=0.0557539
  L1   : mean=0.563214 median=0.442869 min=0.00354681 max=2.6736
  L2   : mean=0.100005 median=0.0795897 min=0.000717656 max=0.420933
  Linf : mean=0.0237594 median=0.0186552 min=0.000182563 max=0.099411

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.0158086 adv_mean=0.0214449 mean|diff|=0.00563628 max|diff|=0.0267989
  RMSE : orig_mean=0.0514402 adv_mean=0.0505428 mean|diff|=0.00209625 max|diff|=0.0191729
  L1   : orig_mean=0.901089 adv_mean=1.22236 mean|diff|=0.321268 max|diff|=1.52754
  L2   : orig_mean=0.388365 adv_mean=0.381589 mean|diff|=0.0158264 max|diff|=0.144753
  Linf : orig_mean=0.281171 adv_mean=0.270571 mean|diff|=0.0141226 max|diff|=0.099411

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.0154053 adv_mean=0.020936 mean|diff|=0.00553073 max|diff|=0.0254841
  RMSE : orig_mean=0.050285 adv_mean=0.0494852 mean|diff|=0.00200858 max|diff|=0.0148291
  L1   : orig_mean=0.878103 adv_mean=1.19335 mean|diff|=0.315252 max|diff|=1.45259
  L2   : orig_mean=0.379643 adv_mean=0.373605 mean|diff|=0.0151644 max|diff|=0.111957
  Linf : orig_mean=0.27633 adv_mean=0.266043 mean|diff|=0.0138384 max|diff|=0.0865824

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
69,1,1,0.00599212,0.00823296,0.341551,0.0621575,0.0149131
70,1,1,0.000480537,0.00057993,0.0273906,0.00437838,0.000949992
71,1,1,0.00566498,0.00858593,0.322904,0.0648224,0.0164786
72,1,1,0.029403,0.0354798,1.67597,0.267866,0.0569617
73,1,1,0.00816889,0.012019,0.465627,0.0907415,0.0223198
75,1,1,0.00386081,0.00589117,0.220066,0.0444773,0.0113195
76,1,1,0.00704957,0.00824455,0.401826,0.062245,0.0131495
77,1,1,0.00607977,0.00729553,0.346547,0.05508,0.0121902
78,1,1,0.00423641,0.00612152,0.241475,0.0462165,0.0115433
79,1,1,0.00818629,0.010461,0.466618,0.0789792,0.018705
81,1,1,0.0103147,0.0142477,0.587937,0.107568,0.0251271
82,1,1,0.00691938,0.00965076,0.394405,0.0728616,0.0173881
83,1,1,0.0130003,0.0178625,0.741018,0.134859,0.0319499
84,1,1,0.00755224,0.00963612,0.430477,0.0727511,0.0157616
85,1,1,0.0318732,0.0400169,1.81677,0.302121,0.0660025
86,1,1,0.0082885,0.0100744,0.472445,0.0760602,0.0168324
87,1,1,0.00896167,0.0111875,0.510815,0.0844635,0.0179991
88,1,1,0.0170046,0.0197315,0.96926,0.14897,0.0337107
89,1,1,0.00699834,0.0102525,0.398905,0.0774049,0.0198266
90,1,1,0.00293827,0.00438948,0.167481,0.0331398,0.008302
91,1,1,0.0150657,0.0197426,0.858745,0.149054,0.0371715
92,1,1,0.00404637,0.00525425,0.230643,0.0396687,0.00952022
93,1,1,0.0135259,0.0156744,0.770978,0.118339,0.0250655
94,1,1,0.00609056,0.00754381,0.347162,0.0569546,0.012353
95,1,1,0.00327518,0.00481224,0.186685,0.0363316,0.00887514
96,1,1,0.00481537,0.00591367,0.274476,0.0446472,0.0102098
97,1,1,0.0137456,0.019196,0.783502,0.144927,0.0346605
98,1,1,0.00287685,0.00342488,0.16398,0.0258572,0.00558342
99,1,1,0.00647075,0.00952119,0.368833,0.0718834,0.0182084
100,1,1,0.00480707,0.00582482,0.274003,0.0439765,0.00946191
101,1,1,0.0102673,0.014157,0.585235,0.106883,0.0251932
102,1,1,0.0176691,0.0258467,1.00714,0.195139,0.0492214
103,1,1,0.0137107,0.0173821,0.781509,0.131232,0.03159
104,1,1,0.00508907,0.00667536,0.290077,0.0503979,0.0115529
105,1,1,0.00480032,0.00689275,0.273618,0.0520391,0.0126117
106,1,1,0.00325096,0.00420523,0.185304,0.0317488,0.00745671
107,1,1,0.00521306,0.00755747,0.297145,0.0570577,0.013948
108,1,1,0.00520507,0.00663725,0.296689,0.0501102,0.0116827
109,1,1,0.0062844,0.0092465,0.358211,0.0698095,0.0173727
110,1,1,0.0315812,0.0377211,1.80013,0.284788,0.0601088
111,1,1,0.00407584,0.0058895,0.232323,0.0444648,0.0106784
112,1,1,0.00741232,0.0107072,0.422502,0.0808372,0.0195305
113,1,1,0.0123515,0.0165205,0.704037,0.124727,0.0291588
114,1,1,0.00913392,0.0116678,0.520633,0.0880903,0.0208779
115,1,1,0.012484,0.0174651,0.711589,0.131858,0.0319211
116,1,1,0.00619985,0.00896474,0.353392,0.0676823,0.0164757
117,1,1,0.0192395,0.0221453,1.09665,0.167194,0.0406233
118,1,1,0.0160435,0.0197958,0.914482,0.149455,0.035296
119,1,1,0.00909689,0.0129527,0.518523,0.0977906,0.0236746
120,1,1,0.0155813,0.022799,0.888135,0.172128,0.0424696
121,1,1,0.0094739,0.0135018,0.540012,0.101937,0.0244473
122,1,1,0.00780267,0.0107718,0.444752,0.081325,0.0189963
123,1,1,0.010995,0.0159326,0.626713,0.120289,0.0291312
124,0,1,0.0425823,0.0539233,2.42719,0.407112,0.0936114
125,1,1,0.00103753,0.00155911,0.0591395,0.011771,0.00296932
126,1,1,0.00326354,0.00399789,0.186022,0.0301834,0.00647114
127,1,1,0.0231529,0.0340188,1.31971,0.256836,0.0639016
129,1,1,0.00269589,0.00391569,0.153666,0.0295628,0.00757688
131,1,1,0.00223872,0.00329514,0.127607,0.0248777,0.00616373
132,1,1,0.00355194,0.00482851,0.202461,0.0364544,0.0085054
133,1,1,0.0082782,0.0115159,0.471857,0.0869429,0.0204484
134,1,1,0.00560409,0.00849277,0.319433,0.064119,0.0163014
135,1,1,0.00509954,0.00734698,0.290674,0.0554685,0.0132969
136,1,1,0.0214308,0.0254327,1.22156,0.192013,0.0401624
137,1,1,0.0077768,0.00992757,0.443277,0.0749515,0.0166423
139,1,1,0.0250583,0.0295557,1.42832,0.223141,0.0453278
140,1,1,0.0043951,0.00669915,0.250521,0.0505775,0.0128582
141,1,1,0.00996282,0.0143605,0.567881,0.108419,0.0260583
142,1,1,0.00965501,0.0124767,0.550336,0.0941972,0.0224344
143,1,1,0.0119176,0.0164815,0.679304,0.124432,0.032076
144,1,1,0.00165827,0.0022659,0.0945212,0.0171071,0.0043277
145,1,1,0.00956837,0.014042,0.545397,0.106015,0.0267697
146,1,1,0.00566498,0.00858593,0.322904,0.0648224,0.0164786
147,1,1,0.00325782,0.00389434,0.185696,0.0294016,0.00625875
148,1,1,0.013953,0.0197947,0.79532,0.149447,0.0380742
149,1,1,0.0117087,0.0166172,0.667396,0.125457,0.0308577
150,1,1,0.00542794,0.00758463,0.309393,0.0572627,0.0134988
152,1,1,0.00232623,0.00298133,0.132595,0.0225086,0.00513992
153,1,1,0.00805995,0.00947766,0.459417,0.0715547,0.0150367
154,1,1,0.00450566,0.00586147,0.256823,0.0442531,0.0106104
155,1,1,0.00350258,0.00491672,0.199647,0.0371204,0.00886733
156,1,1,0.00369466,0.00527744,0.210596,0.0398438,0.0097687
157,1,1,0.00102379,0.00124848,0.0583557,0.00942578,0.00204346
158,1,1,0.00566498,0.00858593,0.322904,0.0648224,0.0164786
159,1,1,0.0205516,0.0239533,1.17144,0.180843,0.0420523
160,1,1,0.0260219,0.0300275,1.48325,0.226702,0.0528163
161,1,1,0.0087294,0.0108186,0.497576,0.081679,0.0187182
162,1,1,0.0106426,0.0137536,0.606627,0.103837,0.0254422
164,1,1,0.00469472,0.00677662,0.267599,0.0511623,0.0125301
165,1,1,0.001415,0.00165033,0.0806548,0.0124597,0.00259863
166,1,1,0.0166655,0.0238222,0.949933,0.179853,0.0454018
168,1,1,0.00853686,0.0124852,0.486601,0.0942614,0.0227964
169,1,1,0.0107991,0.0142518,0.615551,0.107599,0.0255347
170,1,1,0.0104385,0.0141356,0.594997,0.106722,0.0267668
171,1,1,0.00312384,0.00459649,0.178059,0.0347027,0.00862246
172,1,1,0.00353078,0.00448383,0.201254,0.0338522,0.00767728
173,1,1,0.0154176,0.0212359,0.878804,0.160328,0.0381936
174,1,1,0.00535549,0.00702911,0.305263,0.0530686,0.0121125
175,1,1,0.00388644,0.00545947,0.221527,0.0412181,0.00973146
176,1,1,0.00596077,0.00773177,0.339764,0.0583736,0.0137397
