Attack metrics report
Dataset: taiwan_bankruptcy
Attack: fgsm
epsilon=0.07

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2977/2998
ASR (among correct): 0.9930

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.07

Changed samples among successful attacks: 2977/2977
Max |delta| among successful attacks: 0.07

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0563741 median=0.056264 min=0.0524717 max=0.0656805
  RMSE : mean=0.0624842 median=0.0623906 min=0.0602919 max=0.0675386
  L1   : mean=5.29917 median=5.28882 min=4.93234 max=6.17396
  L2   : mean=0.605807 median=0.6049 min=0.584552 max=0.654811
  Linf : mean=0.07 median=0.07 min=0.07 max=0.07

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.340128 mean|diff|=0.0138882 max|diff|=0.0186995
  RMSE : orig_mean=0.450105 adv_mean=0.459401 mean|diff|=0.00970978 max|diff|=0.0204606
  L1   : orig_mean=30.6666 adv_mean=31.972 mean|diff|=1.30549 max|diff|=1.75775
  L2   : orig_mean=4.36393 adv_mean=4.45406 mean|diff|=0.0941398 max|diff|=0.198373
  Linf : orig_mean=0.999071 adv_mean=0.999529 mean|diff|=0.0013501 max|diff|=0.07

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326043 adv_mean=0.33998 mean|diff|=0.0139369 max|diff|=0.0186995
  RMSE : orig_mean=0.449877 adv_mean=0.459249 mean|diff|=0.00975568 max|diff|=0.0179524
  L1   : orig_mean=30.6481 adv_mean=31.9581 mean|diff|=1.31007 max|diff|=1.75775
  L2   : orig_mean=4.36172 adv_mean=4.45258 mean|diff|=0.0945848 max|diff|=0.174056
  Linf : orig_mean=0.999068 adv_mean=0.999549 mean|diff|=0.00133277 max|diff|=0.07

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.0576879,0.0633836,5.42267,0.614527,0.07
1,1,1,0.0558251,0.062242,5.24756,0.603458,0.07
2,1,1,0.0566473,0.0627221,5.32485,0.608114,0.07
4,1,1,0.0545034,0.0613255,5.12332,0.594573,0.07
5,1,1,0.0565354,0.0626617,5.31433,0.607528,0.07
6,1,1,0.0549251,0.0617729,5.16296,0.598911,0.07
7,1,1,0.056123,0.0623003,5.27556,0.604024,0.07
8,1,1,0.0544792,0.0613475,5.12104,0.594786,0.07
9,1,1,0.0570683,0.0628563,5.36442,0.609415,0.07
10,1,1,0.0556696,0.0621989,5.23294,0.603041,0.07
11,1,1,0.056224,0.0623756,5.28506,0.604754,0.07
13,1,1,0.0578971,0.0634407,5.44233,0.61508,0.07
14,1,1,0.0561361,0.0623361,5.27679,0.604371,0.07
15,1,1,0.0566048,0.0624915,5.32085,0.605878,0.07
16,1,1,0.0572332,0.0630546,5.37992,0.611337,0.07
17,1,1,0.0557779,0.0620254,5.24313,0.601359,0.07
19,1,1,0.0562621,0.0623721,5.28864,0.60472,0.07
20,1,1,0.0558002,0.0620317,5.24521,0.601419,0.07
21,1,1,0.0556916,0.0619842,5.23501,0.600959,0.07
22,1,1,0.0568157,0.0626418,5.34067,0.607335,0.07
24,1,1,0.0533497,0.0605312,5.01487,0.586871,0.07
25,1,1,0.0561505,0.0623266,5.27815,0.604279,0.07
26,1,1,0.0621792,0.0654753,5.84484,0.634807,0.07
27,1,1,0.0565839,0.0626535,5.31889,0.607448,0.07
28,1,1,0.0562,0.062366,5.2828,0.604661,0.07
29,1,1,0.0574457,0.0628889,5.39989,0.60973,0.07
30,1,1,0.0566592,0.0626744,5.32597,0.607651,0.07
31,1,1,0.0595769,0.0639601,5.60022,0.620116,0.07
34,1,1,0.055378,0.0618935,5.20553,0.60008,0.07
35,1,1,0.0574596,0.0630233,5.4012,0.611034,0.07
36,1,1,0.054947,0.0617843,5.16502,0.599021,0.07
