score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,136,0.9338235294117647,0.06617647058823528,0.6699507389162561
Score 1,structural,10,2,203,136,0.9338235294117647,0.06617647058823528,0.6699507389162561
Score 1,structural,10,3,203,136,0.9338235294117647,0.06617647058823528,0.6699507389162561
Score 1,structural,10,5,203,136,0.9338235294117647,0.06617647058823528,0.6699507389162561
Score 1,structural,10,10,203,136,0.8970588235294118,0.1029411764705882,0.6699507389162561
Score 1,structural,10,15,203,136,0.5735294117647058,0.42647058823529416,0.6699507389162561
Score 1,structural,10,20,203,136,0.5441176470588235,0.4558823529411765,0.6699507389162561
Score 1,structural,10,30,203,136,0.4264705882352941,0.5735294117647058,0.6699507389162561
Score 1,structural,10,40,203,136,0.22058823529411764,0.7794117647058824,0.6699507389162561
Score 1,structural,10,50,203,136,0.08823529411764706,0.9117647058823529,0.6699507389162561
Score 1,structural,10,57,203,136,0.0661764705882353,0.9338235294117647,0.6699507389162561
Score 1,noisy,10,1,203,136,0.9632352941176471,0.03676470588235292,0.6699507389162561
Score 1,noisy,10,2,203,136,0.9632352941176471,0.03676470588235292,0.6699507389162561
Score 1,noisy,10,3,203,136,0.9632352941176471,0.03676470588235292,0.6699507389162561
Score 1,noisy,10,5,203,136,0.9632352941176471,0.03676470588235292,0.6699507389162561
Score 1,noisy,10,10,203,136,0.9338235294117647,0.06617647058823528,0.6699507389162561
Score 1,noisy,10,15,203,136,0.5955882352941176,0.40441176470588236,0.6699507389162561
Score 1,noisy,10,20,203,136,0.5588235294117647,0.4411764705882353,0.6699507389162561
Score 1,noisy,10,30,203,136,0.4485294117647059,0.5514705882352942,0.6699507389162561
Score 1,noisy,10,40,203,136,0.27941176470588236,0.7205882352941176,0.6699507389162561
Score 1,noisy,10,50,203,136,0.1323529411764706,0.8676470588235294,0.6699507389162561
Score 1,noisy,10,57,203,136,0.09558823529411764,0.9044117647058824,0.6699507389162561
Score 1,structural,20,1,406,265,0.9584905660377359,0.04150943396226414,0.6527093596059114
Score 1,structural,20,2,406,265,0.9584905660377359,0.04150943396226414,0.6527093596059114
Score 1,structural,20,3,406,265,0.9584905660377359,0.04150943396226414,0.6527093596059114
Score 1,structural,20,5,406,265,0.9584905660377359,0.04150943396226414,0.6527093596059114
Score 1,structural,20,10,406,265,0.9207547169811321,0.0792452830188679,0.6527093596059114
Score 1,structural,20,15,406,265,0.5962264150943396,0.4037735849056604,0.6527093596059114
Score 1,structural,20,20,406,265,0.5547169811320755,0.44528301886792454,0.6527093596059114
Score 1,structural,20,30,406,265,0.4226415094339623,0.5773584905660377,0.6527093596059114
Score 1,structural,20,40,406,265,0.21132075471698114,0.7886792452830189,0.6527093596059114
Score 1,structural,20,50,406,265,0.0830188679245283,0.9169811320754717,0.6527093596059114
Score 1,structural,20,57,406,265,0.06415094339622641,0.9358490566037736,0.6527093596059114
Score 1,noisy,20,1,406,272,0.9595588235294118,0.0404411764705882,0.6699507389162561
Score 1,noisy,20,2,406,272,0.9595588235294118,0.0404411764705882,0.6699507389162561
Score 1,noisy,20,3,406,272,0.9595588235294118,0.0404411764705882,0.6699507389162561
Score 1,noisy,20,5,406,272,0.9595588235294118,0.0404411764705882,0.6699507389162561
Score 1,noisy,20,10,406,272,0.9375,0.0625,0.6699507389162561
Score 1,noisy,20,15,406,272,0.5955882352941176,0.40441176470588236,0.6699507389162561
Score 1,noisy,20,20,406,272,0.5772058823529411,0.4227941176470589,0.6699507389162561
Score 1,noisy,20,30,406,272,0.4632352941176471,0.5367647058823529,0.6699507389162561
Score 1,noisy,20,40,406,272,0.27205882352941174,0.7279411764705883,0.6699507389162561
Score 1,noisy,20,50,406,272,0.13970588235294118,0.8602941176470589,0.6699507389162561
Score 1,noisy,20,57,406,272,0.10661764705882353,0.8933823529411765,0.6699507389162561
Score 1,structural,30,1,609,386,0.9481865284974094,0.051813471502590636,0.6338259441707718
Score 1,structural,30,2,609,386,0.9481865284974094,0.051813471502590636,0.6338259441707718
Score 1,structural,30,3,609,386,0.9481865284974094,0.051813471502590636,0.6338259441707718
Score 1,structural,30,5,609,386,0.9481865284974094,0.051813471502590636,0.6338259441707718
Score 1,structural,30,10,609,386,0.917098445595855,0.08290155440414504,0.6338259441707718
Score 1,structural,30,15,609,386,0.5906735751295337,0.40932642487046633,0.6338259441707718
Score 1,structural,30,20,609,386,0.5569948186528497,0.4430051813471503,0.6338259441707718
Score 1,structural,30,30,609,386,0.4326424870466321,0.5673575129533679,0.6338259441707718
Score 1,structural,30,40,609,386,0.23056994818652848,0.7694300518134716,0.6338259441707718
Score 1,structural,30,50,609,386,0.10103626943005181,0.8989637305699482,0.6338259441707718
Score 1,structural,30,57,609,386,0.07512953367875648,0.9248704663212435,0.6338259441707718
Score 1,noisy,30,1,609,394,0.9619289340101523,0.03807106598984766,0.6469622331691297
Score 1,noisy,30,2,609,394,0.9619289340101523,0.03807106598984766,0.6469622331691297
Score 1,noisy,30,3,609,394,0.9619289340101523,0.03807106598984766,0.6469622331691297
Score 1,noisy,30,5,609,394,0.9619289340101523,0.03807106598984766,0.6469622331691297
Score 1,noisy,30,10,609,394,0.9416243654822335,0.058375634517766506,0.6469622331691297
Score 1,noisy,30,15,609,394,0.5888324873096447,0.41116751269035534,0.6469622331691297
Score 1,noisy,30,20,609,394,0.5685279187817259,0.4314720812182741,0.6469622331691297
Score 1,noisy,30,30,609,394,0.44923857868020306,0.5507614213197969,0.6469622331691297
Score 1,noisy,30,40,609,394,0.2639593908629442,0.7360406091370558,0.6469622331691297
Score 1,noisy,30,50,609,394,0.13959390862944163,0.8604060913705583,0.6469622331691297
Score 1,noisy,30,57,609,394,0.10913705583756345,0.8908629441624365,0.6469622331691297
Score 1,structural,40,1,813,515,0.9495145631067962,0.05048543689320384,0.6334563345633456
Score 1,structural,40,2,813,515,0.9495145631067962,0.05048543689320384,0.6334563345633456
Score 1,structural,40,3,813,515,0.9495145631067962,0.05048543689320384,0.6334563345633456
Score 1,structural,40,5,813,515,0.9495145631067962,0.05048543689320384,0.6334563345633456
Score 1,structural,40,10,813,515,0.916504854368932,0.08349514563106797,0.6334563345633456
Score 1,structural,40,15,813,515,0.5902912621359223,0.4097087378640777,0.6334563345633456
Score 1,structural,40,20,813,515,0.5553398058252427,0.44466019417475733,0.6334563345633456
Score 1,structural,40,30,813,515,0.4368932038834951,0.5631067961165048,0.6334563345633456
Score 1,structural,40,40,813,515,0.23300970873786409,0.7669902912621359,0.6334563345633456
Score 1,structural,40,50,813,515,0.11650485436893204,0.883495145631068,0.6334563345633456
Score 1,structural,40,57,813,515,0.08737864077669903,0.912621359223301,0.6334563345633456
Score 1,noisy,40,1,813,518,0.9613899613899614,0.038610038610038644,0.6371463714637147
Score 1,noisy,40,2,813,518,0.9613899613899614,0.038610038610038644,0.6371463714637147
Score 1,noisy,40,3,813,518,0.9613899613899614,0.038610038610038644,0.6371463714637147
Score 1,noisy,40,5,813,518,0.9613899613899614,0.038610038610038644,0.6371463714637147
Score 1,noisy,40,10,813,518,0.944015444015444,0.055984555984555984,0.6371463714637147
Score 1,noisy,40,15,813,518,0.5945945945945946,0.4054054054054054,0.6371463714637147
Score 1,noisy,40,20,813,518,0.5598455598455598,0.44015444015444016,0.6371463714637147
Score 1,noisy,40,30,813,518,0.4575289575289575,0.5424710424710425,0.6371463714637147
Score 1,noisy,40,40,813,518,0.26833976833976836,0.7316602316602316,0.6371463714637147
Score 1,noisy,40,50,813,518,0.138996138996139,0.8610038610038611,0.6371463714637147
Score 1,noisy,40,57,813,518,0.10424710424710425,0.8957528957528957,0.6371463714637147
Score 1,structural,50,1,1016,651,0.9523809523809523,0.04761904761904767,0.640748031496063
Score 1,structural,50,2,1016,651,0.9523809523809523,0.04761904761904767,0.640748031496063
Score 1,structural,50,3,1016,651,0.9523809523809523,0.04761904761904767,0.640748031496063
Score 1,structural,50,5,1016,651,0.9523809523809523,0.04761904761904767,0.640748031496063
Score 1,structural,50,10,1016,651,0.9231950844854071,0.0768049155145929,0.640748031496063
Score 1,structural,50,15,1016,651,0.5806451612903226,0.4193548387096774,0.640748031496063
Score 1,structural,50,20,1016,651,0.5499231950844854,0.4500768049155146,0.640748031496063
Score 1,structural,50,30,1016,651,0.423963133640553,0.5760368663594471,0.640748031496063
Score 1,structural,50,40,1016,651,0.23655913978494625,0.7634408602150538,0.640748031496063
Score 1,structural,50,50,1016,651,0.11827956989247312,0.8817204301075269,0.640748031496063
Score 1,structural,50,57,1016,651,0.09062980030721966,0.9093701996927803,0.640748031496063
Score 1,noisy,50,1,1016,653,0.9617151607963247,0.038284839203675314,0.6427165354330708
Score 1,noisy,50,2,1016,653,0.9617151607963247,0.038284839203675314,0.6427165354330708
Score 1,noisy,50,3,1016,653,0.9617151607963247,0.038284839203675314,0.6427165354330708
Score 1,noisy,50,5,1016,653,0.9617151607963247,0.038284839203675314,0.6427165354330708
Score 1,noisy,50,10,1016,653,0.9448698315467075,0.05513016845329255,0.6427165354330708
Score 1,noisy,50,15,1016,653,0.5895865237366003,0.41041347626339975,0.6427165354330708
Score 1,noisy,50,20,1016,653,0.5482388973966309,0.4517611026033691,0.6427165354330708
Score 1,noisy,50,30,1016,653,0.44104134762633995,0.55895865237366,0.6427165354330708
Score 1,noisy,50,40,1016,653,0.2679938744257274,0.7320061255742726,0.6427165354330708
