score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,2,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,3,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,5,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,10,203,203,0.8226600985221675,0.17733990147783252,1.0
Score 1,structural,10,15,203,203,0.0,1.0,1.0
Score 1,structural,10,20,203,203,0.0,1.0,1.0
Score 1,structural,10,30,203,203,0.0,1.0,1.0
Score 1,structural,10,40,203,203,0.0,1.0,1.0
Score 1,structural,10,50,203,203,0.0,1.0,1.0
Score 1,structural,10,57,203,203,0.0,1.0,1.0
Score 1,noisy,10,1,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,2,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,3,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,5,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,10,203,203,0.8275862068965517,0.1724137931034483,1.0
Score 1,noisy,10,15,203,203,0.0,1.0,1.0
Score 1,noisy,10,20,203,203,0.0,1.0,1.0
Score 1,noisy,10,30,203,203,0.0,1.0,1.0
Score 1,noisy,10,40,203,203,0.0,1.0,1.0
Score 1,noisy,10,50,203,203,0.0,1.0,1.0
Score 1,noisy,10,57,203,203,0.0,1.0,1.0
Score 1,structural,20,1,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,2,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,3,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,5,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,10,406,406,0.8448275862068966,0.15517241379310343,1.0
Score 1,structural,20,15,406,406,0.0,1.0,1.0
Score 1,structural,20,20,406,406,0.0,1.0,1.0
Score 1,structural,20,30,406,406,0.0,1.0,1.0
Score 1,structural,20,40,406,406,0.0,1.0,1.0
Score 1,structural,20,50,406,406,0.0,1.0,1.0
Score 1,structural,20,57,406,406,0.0,1.0,1.0
Score 1,noisy,20,1,406,406,0.9679802955665024,0.03201970443349755,1.0
Score 1,noisy,20,2,406,406,0.9679802955665024,0.03201970443349755,1.0
Score 1,noisy,20,3,406,406,0.9679802955665024,0.03201970443349755,1.0
Score 1,noisy,20,5,406,406,0.9679802955665024,0.03201970443349755,1.0
