Attack metrics report
Dataset: taiwan_bankruptcy
Attack: pgd
epsilon=0.3

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.3

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.3

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.21554 median=0.214803 min=0.196912 max=0.257784
  RMSE : mean=0.247283 median=0.246776 min=0.234702 max=0.273735
  L1   : mean=20.2608 median=20.1915 min=18.5097 max=24.2317
  L2   : mean=2.3975 median=2.39259 min=2.27552 max=2.65396
  Linf : mean=0.3 median=0.3 min=0.3 max=0.3

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.41417 mean|diff|=0.0879295 max|diff|=0.109776
  RMSE : orig_mean=0.450105 adv_mean=0.549144 mean|diff|=0.0990397 max|diff|=0.119434
  L1   : orig_mean=30.6666 adv_mean=38.932 mean|diff|=8.26537 max|diff|=10.319
  L2   : orig_mean=4.36393 adv_mean=5.32415 mean|diff|=0.960225 max|diff|=1.15796
  Linf : orig_mean=0.999071 adv_mean=1 mean|diff|=0.000929014 max|diff|=0.00943255

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
84,1,1,0.215119,0.246806,20.2212,2.39287,0.3
85,1,1,0.21143,0.244576,19.8744,2.37126,0.3
86,1,1,0.213443,0.245103,20.0636,2.37636,0.3
87,1,1,0.217839,0.250451,20.4769,2.42821,0.3
88,1,1,0.216639,0.247536,20.364,2.39996,0.3
89,1,1,0.216099,0.247064,20.3133,2.39538,0.3
90,1,1,0.216255,0.246848,20.3279,2.39328,0.3
91,1,1,0.218989,0.24914,20.585,2.4155,0.3
92,1,1,0.214463,0.246903,20.1596,2.39381,0.3
94,1,1,0.217723,0.248473,20.466,2.40903,0.3
95,1,1,0.218004,0.248491,20.4923,2.40921,0.3
96,1,1,0.211815,0.243856,19.9106,2.36427,0.3
97,1,1,0.215685,0.249415,20.2744,2.41817,0.3
98,1,1,0.216879,0.247493,20.3866,2.39953,0.3
99,1,1,0.221215,0.250162,20.7942,2.42541,0.3
100,1,1,0.21364,0.246125,20.0821,2.38627,0.3
102,1,1,0.211689,0.244793,19.8987,2.37336,0.3
103,1,1,0.214637,0.246563,20.1759,2.39052,0.3
104,1,1,0.210286,0.244176,19.7669,2.36738,0.3
105,1,1,0.213504,0.245258,20.0694,2.37786,0.3
106,1,1,0.2224,0.252212,20.9056,2.44529,0.3
107,1,1,0.208589,0.242287,19.6073,2.34906,0.3
108,1,1,0.214462,0.249,20.1594,2.41415,0.3
109,1,1,0.206982,0.241196,19.4563,2.33848,0.3
110,1,1,0.217874,0.248256,20.4802,2.40693,0.3
111,1,1,0.218803,0.249619,20.5674,2.42015,0.3
112,1,1,0.213619,0.246293,20.0802,2.3879,0.3
113,1,1,0.207613,0.243152,19.5156,2.35745,0.3
114,1,1,0.21948,0.250298,20.6311,2.42673,0.3
115,1,1,0.219251,0.249129,20.6096,2.4154,0.3
116,1,1,0.209012,0.24258,19.6471,2.3519,0.3
117,1,1,0.220165,0.252216,20.6955,2.44532,0.3
119,1,1,0.211908,0.244459,19.9194,2.37012,0.3
120,1,1,0.213238,0.24519,20.0444,2.3772,0.3
121,1,1,0.215268,0.247913,20.2352,2.40361,0.3
122,1,1,0.211845,0.245005,19.9134,2.37541,0.3
123,1,1,0.216165,0.248007,20.3195,2.40452,0.3
124,1,1,0.216451,0.248359,20.3464,2.40793,0.3
125,1,1,0.216589,0.247787,20.3593,2.40238,0.3
126,1,1,0.21585,0.246806,20.2899,2.39288,0.3
127,1,1,0.212382,0.245015,19.9639,2.37551,0.3
128,1,1,0.214296,0.246897,20.1438,2.39376,0.3
129,1,1,0.21374,0.246403,20.0916,2.38896,0.3
130,1,1,0.213469,0.246206,20.0661,2.38706,0.3
131,1,1,0.208658,0.242862,19.6138,2.35463,0.3
132,1,1,0.217215,0.247898,20.4182,2.40346,0.3
133,1,1,0.248668,0.2679,23.3748,2.59739,0.3
134,1,1,0.212004,0.24473,19.9284,2.37275,0.3
135,1,1,0.218471,0.248917,20.5363,2.41334,0.3
136,1,1,0.251094,0.268314,23.6028,2.6014,0.3
137,1,1,0.215916,0.247657,20.2961,2.40113,0.3
139,1,1,0.215431,0.247373,20.2505,2.39837,0.3
140,1,1,0.215088,0.246241,20.2182,2.3874,0.3
141,1,1,0.212612,0.246156,19.9855,2.38657,0.3
142,1,1,0.207805,0.24239,19.5337,2.35005,0.3
143,1,1,0.214859,0.24716,20.1968,2.3963,0.3
144,1,1,0.215347,0.246868,20.2426,2.39348,0.3
145,1,1,0.215112,0.247417,20.2206,2.39879,0.3
146,1,1,0.21631,0.24806,20.3331,2.40503,0.3
147,1,1,0.214609,0.247131,20.1733,2.39603,0.3
148,1,1,0.221768,0.252975,20.8462,2.45269,0.3
149,1,1,0.216754,0.24838,20.3749,2.40814,0.3
150,1,1,0.213204,0.246675,20.0411,2.3916,0.3
151,1,1,0.215683,0.247109,20.2742,2.39581,0.3
152,1,1,0.218386,0.249412,20.5282,2.41814,0.3
154,1,1,0.213286,0.245639,20.0489,2.38156,0.3
155,1,1,0.207777,0.24276,19.531,2.35364,0.3
156,1,1,0.214951,0.246858,20.2054,2.39337,0.3
157,1,1,0.218784,0.248653,20.5657,2.41078,0.3
158,1,1,0.210243,0.244061,19.7629,2.36626,0.3
159,1,1,0.214365,0.247751,20.1503,2.40203,0.3
160,1,1,0.213439,0.246925,20.0632,2.39402,0.3
161,1,1,0.216513,0.247372,20.3523,2.39836,0.3
162,1,1,0.21258,0.245113,19.9825,2.37646,0.3
163,1,1,0.212252,0.244909,19.9517,2.37448,0.3
164,1,1,0.213524,0.24592,20.0712,2.38428,0.3
165,1,1,0.247113,0.266175,23.2287,2.58067,0.3
166,1,1,0.211391,0.244994,19.8708,2.37531,0.3
167,1,1,0.212894,0.245815,20.012,2.38326,0.3
168,1,1,0.215818,0.248911,20.2869,2.41328,0.3
169,1,1,0.214839,0.247509,20.1948,2.39969,0.3
170,1,1,0.209164,0.243122,19.6614,2.35715,0.3
171,1,1,0.216454,0.247145,20.3467,2.39616,0.3
172,1,1,0.214622,0.246604,20.1745,2.39091,0.3
173,1,1,0.214065,0.246863,20.1221,2.39342,0.3
174,1,1,0.20544,0.241071,19.3113,2.33727,0.3
175,1,1,0.221618,0.2508,20.8321,2.4316,0.3
176,1,1,0.215761,0.247336,20.2815,2.39801,0.3
178,1,1,0.21857,0.248958,20.5456,2.41374,0.3
179,1,1,0.215905,0.246989,20.295,2.39465,0.3
181,1,1,0.218029,0.249068,20.4947,2.4148,0.3
183,1,1,0.213582,0.245768,20.0767,2.38281,0.3
184,1,1,0.216238,0.247143,20.3263,2.39614,0.3
185,1,1,0.241388,0.263114,22.6905,2.55098,0.3
186,1,1,0.211604,0.245215,19.8908,2.37745,0.3
187,1,1,0.215202,0.247181,20.229,2.39651,0.3
188,1,1,0.215724,0.246856,20.2781,2.39336,0.3
189,1,1,0.211664,0.244985,19.8964,2.37522,0.3
190,1,1,0.213648,0.245696,20.0829,2.38211,0.3
191,1,1,0.214065,0.246544,20.1221,2.39033,0.3
192,1,1,0.214888,0.247746,20.1994,2.40199,0.3
193,1,1,0.213313,0.246003,20.0514,2.38509,0.3
194,1,1,0.211087,0.244568,19.8422,2.37117,0.3
195,1,1,0.214237,0.24483,20.1383,2.37372,0.3
197,1,1,0.211913,0.245145,19.9198,2.37677,0.3
198,1,1,0.219712,0.249122,20.653,2.41533,0.3
199,1,1,0.212288,0.245787,19.9551,2.38299,0.3
200,1,1,0.216129,0.247793,20.3161,2.40244,0.3
201,1,1,0.202668,0.241162,19.0508,2.33815,0.3
202,1,1,0.210596,0.243239,19.796,2.35829,0.3
203,1,1,0.22319,0.253863,20.9798,2.46129,0.3
204,1,1,0.244624,0.265065,22.9947,2.5699,0.3
205,1,1,0.217376,0.248533,20.4333,2.40962,0.3
206,1,1,0.215174,0.246576,20.2263,2.39065,0.3
207,1,1,0.218182,0.248447,20.5091,2.40879,0.3
208,1,1,0.204661,0.239605,19.2381,2.32306,0.3
209,1,1,0.211549,0.244153,19.8856,2.36716,0.3
210,1,1,0.211538,0.245352,19.8846,2.37878,0.3
211,1,1,0.215508,0.247125,20.2578,2.39597,0.3
213,1,1,0.217628,0.248547,20.4571,2.40975,0.3
214,1,1,0.213854,0.246067,20.1022,2.38571,0.3
215,1,1,0.212999,0.245752,20.0219,2.38266,0.3
216,1,1,0.215219,0.247654,20.2306,2.40109,0.3
217,1,1,0.22021,0.249445,20.6997,2.41846,0.3
218,1,1,0.208947,0.24349,19.641,2.36073,0.3
219,1,1,0.219184,0.250221,20.6033,2.42598,0.3
