score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,2,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,3,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,5,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,10,203,203,0.9310344827586207,0.06896551724137934,1.0
Score 1,structural,10,15,203,203,0.9408866995073891,0.059113300492610876,1.0
Score 1,structural,10,20,203,203,0.9458128078817734,0.054187192118226646,1.0
Score 1,structural,10,30,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,structural,10,40,203,203,0.9556650246305419,0.044334975369458074,1.0
Score 1,structural,10,50,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,57,203,203,0.9458128078817734,0.054187192118226646,1.0
Score 1,noisy,10,1,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,2,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,3,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,5,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,10,203,203,0.9556650246305419,0.044334975369458074,1.0
Score 1,noisy,10,15,203,203,0.9802955665024631,0.019704433497536922,1.0
Score 1,noisy,10,20,203,203,0.9802955665024631,0.019704433497536922,1.0
Score 1,noisy,10,30,203,203,0.9901477832512315,0.009852216748768461,1.0
Score 1,noisy,10,40,203,203,0.9852216748768473,0.014778325123152691,1.0
Score 1,noisy,10,50,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,57,203,203,0.9655172413793104,0.03448275862068961,1.0
Score 1,structural,20,1,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,2,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,3,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,5,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,10,406,406,0.9384236453201971,0.061576354679802936,1.0
Score 1,structural,20,15,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,20,406,406,0.9704433497536946,0.029556650246305383,1.0
Score 1,structural,20,30,406,406,0.9852216748768473,0.014778325123152691,1.0
Score 1,structural,20,40,406,406,0.9679802955665024,0.03201970443349755,1.0
Score 1,structural,20,50,406,406,0.9655172413793104,0.03448275862068961,1.0
