score_type,tier,attack_pct,k,n_targeted,n_attacked,restoration_rate,asr_after,asr_before
Score 1,structural,10,1,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,2,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,3,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,5,203,203,0.9507389162561576,0.049261083743842415,1.0
Score 1,structural,10,10,203,203,0.9310344827586207,0.06896551724137934,1.0
Score 1,structural,10,15,203,203,0.8620689655172413,0.13793103448275867,1.0
Score 1,structural,10,20,203,203,0.8325123152709359,0.16748768472906406,1.0
Score 1,structural,10,30,203,203,0.7536945812807881,0.24630541871921185,1.0
Score 1,structural,10,40,203,203,0.5517241379310345,0.4482758620689655,1.0
Score 1,structural,10,50,203,203,0.3399014778325123,0.6600985221674878,1.0
Score 1,structural,10,57,203,203,0.29064039408866993,0.7093596059113301,1.0
Score 1,noisy,10,1,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,2,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,3,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,5,203,203,0.9753694581280788,0.024630541871921152,1.0
Score 1,noisy,10,10,203,203,0.9556650246305419,0.044334975369458074,1.0
Score 1,noisy,10,15,203,203,0.9408866995073891,0.059113300492610876,1.0
Score 1,noisy,10,20,203,203,0.9014778325123153,0.09852216748768472,1.0
Score 1,noisy,10,30,203,203,0.7881773399014779,0.21182266009852213,1.0
Score 1,noisy,10,40,203,203,0.6009852216748769,0.3990147783251231,1.0
Score 1,noisy,10,50,203,203,0.3251231527093596,0.6748768472906403,1.0
Score 1,noisy,10,57,203,203,0.29064039408866993,0.7093596059113301,1.0
Score 1,structural,20,1,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,2,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,3,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,5,406,406,0.9630541871921182,0.036945812807881784,1.0
Score 1,structural,20,10,406,406,0.9384236453201971,0.061576354679802936,1.0
Score 1,structural,20,15,406,406,0.8817733990147784,0.11822660098522164,1.0
Score 1,structural,20,20,406,406,0.8522167487684729,0.14778325123152714,1.0
Score 1,structural,20,30,406,406,0.7832512315270936,0.21674876847290636,1.0
Score 1,structural,20,40,406,406,0.5862068965517241,0.4137931034482759,1.0
Score 1,structural,20,50,406,406,0.34236453201970446,0.6576354679802956,1.0
