Attack metrics report
Dataset: taiwan_bankruptcy
Attack: deepfool
alpha=0.1, maxiters=500

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2998/2998
ASR (among correct): 1.0000

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.255593

Changed samples among successful attacks: 2998/2998
Max |delta| among successful attacks: 0.255593

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0111966 median=0.0106431 min=0.00517136 max=0.0466965
  RMSE : mean=0.0166179 median=0.0158125 min=0.00776974 max=0.0718231
  L1   : mean=1.05248 median=1.00045 min=0.486108 max=4.38947
  L2   : mean=0.161116 median=0.153308 min=0.0753304 max=0.696351
  Linf : mean=0.0605607 median=0.0578576 min=0.0272596 max=0.255593

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.327607 mean|diff|=0.00136584 max|diff|=0.0111138
  RMSE : orig_mean=0.450105 adv_mean=0.449391 mean|diff|=0.000718125 max|diff|=0.00792667
  L1   : orig_mean=30.6666 adv_mean=30.795 mean|diff|=0.128389 max|diff|=1.0447
  L2   : orig_mean=4.36393 adv_mean=4.35701 mean|diff|=0.00696249 max|diff|=0.0768518
  Linf : orig_mean=0.999071 adv_mean=0.999782 mean|diff|=0.00106608 max|diff|=0.0358948

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326241 adv_mean=0.327607 mean|diff|=0.00136584 max|diff|=0.0111138
  RMSE : orig_mean=0.450105 adv_mean=0.449391 mean|diff|=0.000718125 max|diff|=0.00792667
  L1   : orig_mean=30.6666 adv_mean=30.795 mean|diff|=0.128389 max|diff|=1.0447
  L2   : orig_mean=4.36393 adv_mean=4.35701 mean|diff|=0.00696249 max|diff|=0.0768518
  Linf : orig_mean=0.999071 adv_mean=0.999782 mean|diff|=0.00106608 max|diff|=0.0358948

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
0,1,1,0.0105833,0.0156616,0.994831,0.151845,0.0565613
1,1,1,0.0208367,0.0313421,1.95865,0.303873,0.11542
2,1,1,0.0159471,0.0234521,1.49903,0.227377,0.0857791
4,1,1,0.00528564,0.00791063,0.49685,0.0766964,0.0288458
5,1,1,0.0108182,0.0158079,1.01691,0.153263,0.0586396
6,1,1,0.0256544,0.0388314,2.41151,0.376484,0.144586
7,1,1,0.00538047,0.00793867,0.505764,0.0769682,0.0289549
8,1,1,0.00535793,0.00793775,0.503645,0.0769593,0.0289549
9,1,1,0.0107786,0.0158777,1.01319,0.15394,0.0580611
10,1,1,0.00540505,0.00796162,0.508075,0.0771908,0.0293186
11,1,1,0.00528761,0.00791157,0.497036,0.0767055,0.0286371
13,1,1,0.0053087,0.00785785,0.499017,0.0761847,0.0280768
14,1,1,0.0107062,0.0158671,1.00638,0.153837,0.057823
15,1,1,0.0156213,0.0233929,1.4684,0.226803,0.0835078
16,1,1,0.0106752,0.0158485,1.00347,0.153657,0.058075
17,1,1,0.00530531,0.00795825,0.498699,0.0771581,0.0292656
19,1,1,0.0052999,0.00792311,0.49819,0.0768174,0.0288501
20,1,1,0.0107236,0.0158706,1.00801,0.153871,0.0579098
21,1,1,0.00537946,0.00793846,0.505669,0.0769662,0.0289549
22,1,1,0.0107571,0.0158759,1.01117,0.153923,0.0579293
24,1,1,0.00531791,0.00789678,0.499884,0.0765622,0.0278897
25,1,1,0.0107225,0.0158704,1.00791,0.153869,0.0579098
26,1,1,0.00691655,0.00977665,0.650156,0.0947881,0.0298365
27,1,1,0.0107979,0.0156948,1.015,0.152167,0.0579909
28,1,1,0.00532871,0.0078957,0.500898,0.0765516,0.0278897
29,1,1,0.021928,0.0331085,2.06124,0.320999,0.11456
30,1,1,0.00533452,0.00788261,0.501445,0.0764248,0.028732
31,1,1,0.00696813,0.00975728,0.655004,0.0946003,0.0294868
34,1,1,0.0104645,0.0157998,0.983666,0.153185,0.0576006
35,1,1,0.0106315,0.0158256,0.999363,0.153435,0.0572742
36,1,1,0.00535896,0.00792451,0.503742,0.076831,0.0293051
37,1,1,0.0160167,0.023571,1.50557,0.228529,0.0874416
38,1,1,0.0107224,0.0158705,1.0079,0.15387,0.0579098
39,1,1,0.0107729,0.0158317,1.01265,0.153494,0.0586804
40,1,1,0.0140232,0.0196353,1.31818,0.190371,0.0585491
42,1,1,0.00532625,0.00792727,0.500667,0.0768578,0.0289549
43,1,1,0.00543832,0.00791396,0.511202,0.0767287,0.0292024
44,1,1,0.0205547,0.0309719,1.93214,0.300284,0.113155
45,1,1,0.0104452,0.0158555,0.981852,0.153724,0.0578115
46,1,1,0.00526165,0.00794213,0.494595,0.0770018,0.0289057
47,1,1,0.00532338,0.00791415,0.500398,0.0767305,0.0291458
50,1,1,0.0159924,0.0236723,1.50329,0.229512,0.0865223
51,1,1,0.0156859,0.0235263,1.47448,0.228096,0.0867194
52,1,1,0.0107013,0.0158569,1.00592,0.153738,0.0582712
53,1,1,0.00694398,0.00976552,0.652734,0.0946802,0.0292641
54,1,1,0.0157087,0.0235371,1.47662,0.2282,0.0867194
55,1,1,0.0108917,0.0158823,1.02382,0.153985,0.0585455
56,1,1,0.0052428,0.00793067,0.492824,0.0768907,0.0286833
57,1,1,0.00529773,0.00787736,0.497987,0.0763739,0.0280293
58,1,1,0.00691113,0.00978508,0.649646,0.0948699,0.0290747
59,1,1,0.0107983,0.0158617,1.01504,0.153785,0.0582507
60,1,1,0.0159028,0.0236537,1.49486,0.229331,0.0867194
61,1,1,0.0107753,0.0157726,1.01288,0.152921,0.0584047
62,1,1,0.015617,0.0234364,1.468,0.227224,0.0844743
63,1,1,0.0159222,0.0236514,1.49668,0.229309,0.0868717
64,1,1,0.0108401,0.0159034,1.01897,0.154189,0.0579622
66,1,1,0.010723,0.0158705,1.00796,0.15387,0.0579098
67,1,1,0.0155526,0.0234734,1.46194,0.227583,0.0857921
68,1,1,0.00540483,0.00790982,0.508054,0.0766885,0.0292024
69,1,1,0.00527424,0.00794328,0.495779,0.077013,0.0289057
70,1,1,0.0054437,0.00795827,0.511707,0.0771583,0.029081
71,1,1,0.02191,0.032408,2.05954,0.314208,0.113831
72,1,1,0.0107444,0.0158893,1.00997,0.154052,0.0582888
73,1,1,0.0105603,0.0156973,0.992671,0.152191,0.0564919
